date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Argentina,0,42,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,34,3,0,0
2021-04-02,Argentina,0,34,8,0,0
2021-04-02,Sweden,0,4,5,0,0
2021-04-03,Afghanistan,0,29,8,0,0
2021-04-03,Argentina,0,23,19,0,0
2021-04-03,Sweden,0,3,6,0,0
2021-04-04,Afghanistan,0,22,15,0,0
2021-04-04,Argentina,0,16,26,0,0
2021-04-04,Sweden,0,1,8,0,0
2021-04-05,Afghanistan,0,19,18,0,0
2021-04-05,Argentina,0,13,29,0,0
2021-04-05,Sweden,0,1,8,0,0
2021-04-06,Afghanistan,0,16,18,2,1
2021-04-06,Argentina,0,9,25,6,2
2021-04-06,Sweden,0,0,4,1,4
2021-04-07,Afghanistan,0,16,13,3,5
2021-04-07,Argentina,0,7,16,10,9
2021-04-07,Sweden,0,0,3,2,4
2021-04-08,Afghanistan,0,12,10,5,10
2021-04-08,Argentina,0,5,11,12,14
2021-04-08,Sweden,0,0,1,3,5
2021-04-09,Afghanistan,0,8,11,6,12
2021-04-09,Argentina,0,4,9,13,16
2021-04-09,Sweden,0,0,1,3,5
2021-04-10,Afghanistan,0,8,8,7,14
2021-04-10,Argentina,0,4,5,17,16
2021-04-10,Sweden,0,0,0,4,5
2021-04-11,Afghanistan,0,6,10,7,14
2021-04-11,Argentina,0,4,3,17,18
2021-04-11,Sweden,0,0,0,4,5
2021-04-12,Afghanistan,0,6,6,11,14
2021-04-12,Argentina,0,3,2,18,19
2021-04-12,Sweden,0,0,0,4,5
2021-04-13,Afghanistan,0,5,3,13,16
2021-04-13,Argentina,0,3,1,19,19
2021-04-13,Sweden,0,0,0,4,5
2021-04-14,Afghanistan,0,3,5,13,16
2021-04-14,Argentina,0,3,1,19,19
2021-04-14,Sweden,0,0,0,4,5
2021-04-15,Afghanistan,0,3,3,15,16
2021-04-15,Argentina,0,3,1,19,19
2021-04-15,Sweden,0,0,0,4,5
2021-04-16,Afghanistan,0,3,3,15,16
